Group,Include,Qty Current Build,Qty If All 4 Analog Channels Populated,Unit,Item,Manufacturer / Part,Approx Unit Price USD,Use,Wiring / Placement,Purchase URL,Notes
Analog DAQ Core,Yes,1,1,ea,Adafruit Feather RP2040 Adalogger,Adafruit PID 5980,14.95,USB DAQ controller; uses onboard A0-A3 12-bit ADCs,"USB-C to laptop; A0=GP475, A1=PDR-D-1; GND is analog return",https://www.adafruit.com/product/5980,External ADS1115 is not required for the baseline design.
Analog DAQ Core,Yes,1,1,ea,"USB Type-A to USB-C data cable, ~1 m",Adafruit PID 4474,4.95,DAQ-to-laptop USB data and power,Laptop USB-A <-> Feather USB-C,https://www.adafruit.com/product/4474,Substitute a known data-capable USB-C cable if your laptop uses USB-C.
Analog DAQ Core,Yes,1,1,ea,Half-size Perma-Proto PCB,Adafruit PID 1609,4.5,"Mount resistor dividers, filters and terminal blocks",Solder front-end components; wire A0-A3 and GND to Feather,https://www.adafruit.com/product/1609,A custom PCB can replace this later.
Analog DAQ Core,Yes,2,4,ea,30.1 kΩ ±0.1% metal-film resistor,TE Connectivity YR1B30K1CC,1.01,Top resistor in each 0-10 V divider,Instrument signal -> 30.1k -> ADC node,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B30K1CC/18101807,One per populated analog channel.
Analog DAQ Core,Yes,2,4,ea,10.0 kΩ ±0.1% metal-film resistor,TE Connectivity YR1B10KCC,0.97,Bottom resistor in each 0-10 V divider,ADC node -> 10.0k -> signal ground,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B10KCC/2389737,"With 30.1k top resistor, divider reconstruction gain = 4.01."
Analog DAQ Core,Yes,2,4,ea,"100 nF, 50 V, X7R ceramic capacitor",Murata RDER71H104K0K1H03B,0.52,Low-pass/noise filter on each ADC input,ADC node -> 100 nF -> signal ground,https://www.digikey.com/en/products/detail/murata-electronics/RDER71H104K0K1H03B/4770969,One per populated analog channel.
Analog DAQ Core,Yes,2,4,ea,2-pin 2.54 mm screw terminal block,Adafruit PID 2138,0.95,Detachable signal/ground input for each analog instrument,One terminal pair per analog channel,https://www.adafruit.com/product/2138,26-20 AWG rated by Adafruit.
Analog DAQ Core,If needed,1,1,set,22 AWG solid-core hookup wire set,Adafruit PID 1311,15.95,Internal DAQ wiring between Feather and protoboard,Short internal point-to-point runs only,https://www.adafruit.com/product/1311,Use existing lab hookup wire instead if available; not included in baseline total.
GP475 Analog,Yes,1,1,ea,3.5 mm plug to screw-terminal adapter,Adafruit PID 2790,2.5,Break out the GP475 rear analog-output phone jack,Use the signal/return contacts specified by the GP475 manual; leave unused contact open,https://www.adafruit.com/product/2790,This adapter is TRS; verify the exact GP475 jack contact assignment before wiring.
GP475 Analog,Yes,6,6,ft,Belden 9451 shielded twisted-pair cable,Belden 9451 (DigiKey cut length),1.61,GP475 analog signal and return to DAQ,GP475 adapter -> shielded pair -> DAQ CH0 terminal,https://www.digikey.com/en/products/detail/belden-inc/9451-008500/28740168,
PDR-D-1 Analog,Yes,6,6,ft,Belden 9451 shielded twisted-pair cable,Belden 9451 (DigiKey cut length),1.61,PDR-D-1 DC OUT and S GND to DAQ,PDR DC OUT -> signal conductor; S GND -> return -> DAQ CH1 terminal,https://www.digikey.com/en/products/detail/belden-inc/9451-008500/28740168,
GRAPHIX RS232,Yes,1,1,ea,"FTDI USB-to-RS232 adapter, DB9 male",USBGear USBG-232,21.29,Convert laptop USB to true RS-232 for GRAPHIX,Laptop USB -> USBG-232 -> straight-through DB9 extension -> GRAPHIX,https://www.amazon.com/Adapter-Chipset%EF%BC%8CDB9-Serial-Converter-Windows/dp/B0759HSLP1/ref=sr_1_1?channelId=500&clpRedir=Y&dib=eyJ2IjoiMSJ9._leohITZkTn4lLg5Q8MOtUsU0_uwQ_gLSWTRUVifB2Ig7Z_KGhfZ8hgd06vHro_pZf9YPExgS180FuQN-Wqi85Cku58jssmEVXX_HE8vvLDS1tIwdgZF2KyphSP4atlytG5znXn36al4246IYBLv2OA0RgcWADVTYspEaQMi8mDXDwBprsbhXcQwhuBe4tVsEDB3F8SXbFVo4C076qdPRZ_HxIqAwnrsNCy2swNgPD8.VoYuNqTEZ4suCcAWRHRmpov_zpwlgpLS4S2qRYBuJmQ&dib_tag=se&keywords=usb%2Brs232%2Bftdi&plpRedirect=mhFallback&qid=1788896098&sr=8-1&th=1,
,,,,,,,,,,,
Primary Controller,Optional,1,1,ea,Arduino Due,Arduino,,"Controll pneumatics, sample sensors",,https://www.mouser.com/en/ProductDetail/Arduino/A000062?qs=D9UofrEmuWn3CLF7hFoZGA%3D%3D,
Primary Controller,Yes,1,1,ea,12V din regulator,Mean well,,Power main microcontroller,,https://www.mouser.com/en/ProductDetail/MEAN-WELL/DDR-15G-12?qs=sGAEpiMZZMv0DJfhVcWlK4j93HJf2Fwo40yd8cq8HDWAOtPCUqWrSw%3D%3D,
All,Yes,1,1,ea,Power Supply,Mean well,,Primary power supply,,https://www.mouser.com/en/ProductDetail/MEAN-WELL/HDR-150-24?qs=PqoDHHvF64%2FLzUHzMPaPtg%3D%3D&utm_id=22522039646&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amercorp&gad_source=1&gad_campaignid=22525648075&gclid=CjwKCAjwwfnUBhAtEiwAfQpAYs2He3P_bqoxDWWJgTUTE2_z-GCNm4llusVgJ-sLg-_hmyQJaYv0YhoCuksQAvD_BwE,
Relays,Yes,1,1,ea,5V din regulator,Mean well,,Power relay modules,,https://www.mouser.com/en/ProductDetail/MEAN-WELL/DDR-15G-5?qs=r5DSvlrkXmJh7kL7WR1h5g%3D%3D&mgh=1&utm_id=23744632239&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amercorp&gad_source=1&gad_campaignid=23749957841&gclid=CjwKCAjwwfnUBhAtEiwAfQpAYmT-NBZnbkwYt6kx6aDbM1vVk3yDIFLnrfrOCeSRSvyvmhyrkYibZBoC9HwQAvD_BwE,
All (serial devices),Optional,1,1,ea,USB-C/A to USB-A hub,anker,,Connect all serial usb devices,,https://www.amazon.com/Anker-Transfer-Extended-Charging-Supported/dp/B0CCDZWH5H/ref=sr_1_2?crid=A5YTBKXEUQP0&dib=eyJ2IjoiMSJ9.RSK7QDFCa_qwJ3F-teozdVvUqx3WWV48pKVlR0JCCnQ1v8sR6PxKlORvESVY540cptCexjgzRKTOW26-EOBxh9SovdfcDAebK6V9uZa-1sT0xFdzFxiYsHwmw2ucIKtEJbUWmcdkragXLvgNjj0gViz9T9VanJmlYafgN8IDKaY9Xa83rh_3cafSwrqEeIBT3lla5BzoUB1Cbi3gtlj6oxg7aOZmjAv1jzMM3RykYSw.4kaW0SFy6Oo-70cdBuIfl15PnFBaKh-Ci3Ar76AUw-U&dib_tag=se&keywords=usb%2Bc%2Bto%2Busb%2Ba%2Bhub&qid=1788891708&sprefix=usb%2Bc%2Bto%2Busb%2Bhub%2Caps%2C203&sr=8-2&th=1,
,,,,,,,,,,,
Mounting,Yes,1,1,ea,Small DIN Rail,Mean well,,Mount din pwr supplies,,https://www.mouser.com/en/ProductDetail/MEAN-WELL/TS35-75-200?qs=1Kr7Jg1SGW8uBOHr%252BMBvyw%3D%3D&mgh=1&utm_id=23556925407&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amercorp&gad_source=1&gad_campaignid=23566852966&gclid=CjwKCAjwwfnUBhAtEiwAfQpAYhRMq_8MhYCrO-MBs57myzAqbuJo0kw7SHUGX5r1NrkjOu9mI6x9exoCdeQQAvD_BwE,
Mounting,,,,,Acrylic,,,,,,
