Group,Include,Qty Current Build,Qty If All 4 Analog Channels Populated,Unit,Item,Manufacturer / Part,Approx Unit Price USD,Use,Wiring / Placement,Purchase URL,Alt Link,Notes,
Analog DAQ Core,Yes,1,1,ea,Adafruit Feather RP2040 Adalogger,Adafruit PID 5980,14.95,USB DAQ controller; uses onboard A0-A3 12-bit ADCs,"USB-C to laptop; A0=GP475, A1=PDR-D-1; GND is analog return",https://www.adafruit.com/product/5980,,External ADS1115 is not required for the baseline design.,
Analog DAQ Core,Yes,1,1,ea,"USB Type-A to USB-C data cable, ~1 m",Adafruit PID 4474,4.95,DAQ-to-laptop USB data and power,Laptop USB-A <-> Feather USB-C,https://www.adafruit.com/product/4474,,Substitute a known data-capable USB-C cable if your laptop uses USB-C.,
Analog DAQ Core,Yes,1,1,ea,Half-size Perma-Proto PCB,Adafruit PID 1609,4.5,"Mount resistor dividers, filters and terminal blocks",Solder front-end components; wire A0-A3 and GND to Feather,https://www.adafruit.com/product/1609,,A custom PCB can replace this later.,
Analog DAQ Core,Yes,2,4,ea,30.1 kOhm ±0.1% metal-film resistor,TE Connectivity YR1B30K1CC,1.01,Top resistor in each 0-10 V divider,Instrument signal -> 30.1k -> ADC node,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B30K1CC/18101807,https://www.mouser.com/en/ProductDetail/TE-Connectivity-Holsworthy/YR1B30K1CC?qs=sGAEpiMZZMtlubZbdhIBIIvX6HIFvcbFnpsEGixcCyQ%3D,One per populated analog channel.,
Analog DAQ Core,Yes,2,4,ea,10.0 kOhm ±0.1% metal-film resistor,TE Connectivity YR1B10KCC,0.97,Bottom resistor in each 0-10 V divider,ADC node -> 10.0k -> signal ground,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B10KCC/2389737,https://www.mouser.com/en/ProductDetail/TE-Connectivity-Holsworthy/YR1B10KCC?qs=VHcS2MTj4gZAHnFpyW81RQ%3D%3D,"With 30.1k top resistor, divider reconstruction gain = 4.01.",
Analog DAQ Core,Yes,2,4,ea,"100 nF, 50 V, X7R ceramic capacitor",Murata RDER71H104K0K1H03B,0.52,Low-pass/noise filter on each ADC input,ADC node -> 100 nF -> signal ground,https://www.digikey.com/en/products/detail/murata-electronics/RDER71H104K0K1H03B/4770969,https://www.mouser.com/en/ProductDetail/Murata-Electronics/RDER71H104K0K1H03B?qs=hNud%2FORuBR2GLaz%2FjAabyQ%3D%3D,One per populated analog channel.,
Analog DAQ Core,Yes,2,4,ea,2-pin 2.54 mm screw terminal block,Adafruit PID 2138,0.95,Detachable signal/ground input for each analog instrument,One terminal pair per analog channel,https://www.adafruit.com/product/2138,https://www.mouser.com/en/ProductDetail/Amphenol-Anytek/VN02A1500000G?qs=Mv7BduZupUgf8d3Xo6xdxw%3D%3D,26-20 AWG rated by Adafruit.,
Analog DAQ Core,If needed,1,1,set,22 AWG solid-core hookup wire set,Adafruit PID 1311,15.95,Internal DAQ wiring between Feather and protoboard,Short internal point-to-point runs only,https://www.adafruit.com/product/1311,https://www.amazon.com/dp/B07TX6BX47?lv=shuf&channelId=500&plpRedirect=mhFallback&th=1,Use existing lab hookup wire instead if available; not included in baseline total.,
GP475 Analog,Yes,1,1,ea,3.5 mm plug to screw-terminal adapter,Adafruit PID 2790,2.5,Break out the GP475 rear analog-output phone jack,Use the signal/return contacts specified by the GP475 manual; leave unused contact open,https://www.adafruit.com/product/2790,,This adapter is TRS; verify the exact GP475 jack contact assignment before wiring.,
GP475 Analog,Yes,6,6,ft,Belden 9451 shielded twisted-pair cable,Belden 9451 (DigiKey cut length),1.61,GP475 analog signal and return to DAQ,GP475 adapter -> shielded pair -> DAQ CH0 terminal,https://www.digikey.com/en/products/detail/belden-inc/9451-008500/28740168,,,
PDR-D-1 Analog,Yes,6,6,ft,Belden 9451 shielded twisted-pair cable,Belden 9451 (DigiKey cut length),1.61,PDR-D-1 DC OUT and S GND to DAQ,PDR DC OUT -> signal conductor; S GND -> return -> DAQ CH1 terminal,https://www.digikey.com/en/products/detail/belden-inc/9451-008500/28740168,,,
GRAPHIX RS232,Yes,1,1,ea,"FTDI USB-to-RS232 adapter, DB9 male",USBGear USBG-232,21.29,Convert laptop USB to true RS-232 for GRAPHIX,Laptop USB -> USBG-232 -> straight-through DB9 extension -> GRAPHIX,https://www.amazon.com/Adapter-Chipset%EF%BC%8CDB9-Serial-Converter-Windows/dp/B0759HSLP1/ref=sr_1_1?channelId=500&clpRedir=Y&dib=eyJ2IjoiMSJ9._leohITZkTn4lLg5Q8MOtUsU0_uwQ_gLSWTRUVifB2Ig7Z_KGhfZ8hgd06vHro_pZf9YPExgS180FuQN-Wqi85Cku58jssmEVXX_HE8vvLDS1tIwdgZF2KyphSP4atlytG5znXn36al4246IYBLv2OA0RgcWADVTYspEaQMi8mDXDwBprsbhXcQwhuBe4tVsEDB3F8SXbFVo4C076qdPRZ_HxIqAwnrsNCy2swNgPD8.VoYuNqTEZ4suCcAWRHRmpov_zpwlgpLS4S2qRYBuJmQ&dib_tag=se&keywords=usb%2Brs232%2Bftdi&plpRedirect=mhFallback&qid=1788896098&sr=8-1&th=1,,,
GRAPHIX RS232,yes,1,1,ea,Straight Through DB9 RS232 Serial Cable,Startech,9.84,Graphix extension,,https://www.amazon.com/StarTech-com-Black-Straight-Through-Serial/dp/B00A6GIUZA/ref=sr_1_5?crid=3EJMHTDV1AZ49&dib=eyJ2IjoiMSJ9._605H01is79tiHLevXvnBa0dOmlPnigeKkW3-iY_Oaagm4Iot8EJSlHQyo7bHKMH8iEAW3mpnb7sn8qykCuruUnDwTnYvRn7tZOKHrzI1XCWScl68AuKemiZTIDvHqMUuWpdqQZkWHoFyQbHNUXOKTEy-dWnGPxuLoEotIKz2cOHU7K2NfJgGgthQ1_zNKtQBnd-0zA_xcrlUF2LKG0JdYKX8fliDiUzLVkXHXJVLus.F4SQ0AC5_IT1AHpFYedyEQJaPTQqYP1H1HqjsOnY6Ww&dib_tag=se&keywords=db9+straight+through+cable+male-female&qid=1789761549&sprefix=db9+straight+through+cable+male-female%2Caps%2C190&sr=8-5,,,
USB,Yes,1,1,ea,USB extender (2-pack),,16.99,extend short usb hub cables to PC somewhere,,https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B086SZYG46/ref=sr_1_5?crid=3QA8YPZCAHB79&dib=eyJ2IjoiMSJ9.BhfLSjI130oAv-bCnMvniVkDXEvqbSE0bjU-RVbac-fwqdSlCPk2sGtMaW0IhdWRk8-0msHxqZrWEU3lqL94eLRBXpQEFJ2ssECSA7ONPxYc0CpwzuIcRV0toB6Ly13ughLd3_zWq0rmLYBtGcT2DMGC-_-FIsmaURoNIX56J75r80QeMxNaFgORMSzmpCHEi-87o3-GW2KBEUb_RQIw6S1hc1cujrAHVGNyxxMMDOU.nUvN7eba4iIohMNC1W16QJdFtCFbb1aRN8lEPhrcpus&dib_tag=se&keywords=usb%2B3.0%2Bextender&qid=1789756558&sprefix=usb%2B3.0%2Bextende%2Caps%2C200&sr=8-5&th=1,,,
,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,
Primary Controller,Yes,1,1,ea,Arduino Due,Arduino,62.19,"Controll pneumatics, sample sensors",,https://www.mouser.com/en/ProductDetail/Arduino/A000062?qs=D9UofrEmuWn3CLF7hFoZGA%3D%3D,,,
Primary Controller,Yes,1,1,ea,12V din regulator,Mean well,20.5,Power main microcontroller,,https://www.mouser.com/en/ProductDetail/MEAN-WELL/DDR-15G-12?qs=sGAEpiMZZMv0DJfhVcWlK4j93HJf2Fwo40yd8cq8HDWAOtPCUqWrSw%3D%3D,,,
